"place"	"room"	"price_pax"	"total_price"	"bed"	"bath"	"sqft_pax"	"total_sqft"	"rating"	"built"	"property_units"	"property_stories"	"walkscore"	"transitscore"	"distance"	"dist"	"features"	"laundry"	"furnished"	"internet"	"ac"	"balcony"	"dishwasher"	"patio"	"hardwood"	"tile"	"intercom"	"granite"	"accessible"	"ice"	"long"	"lat"	"bed_count"	"address"
"1560 S Saltair Ave"	"1560 South Saltair"	2445	2445	"1 bed"	"1 bath"	680	680	2	1967	24	2	90	64	NA	2.41145597835329	", Dishwasher, Kitchen, Microwave, Refrigerator, Tile Floors, Patio, , , , "	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	-118.461181959184	34.0399332857143	1	"1560 S Saltair Ave, Los Angeles, CA 90025"
"1924 Pelham Ave"	"2 Bedroom"	1750	3500	"2 beds"	"2 baths"	675	1350	4	1987	7	3	68	62	1.9	1.44942435560851	", Washer/Dryer, Air Conditioning, Heating, Smoke Free, Fireplace, Dishwasher, Disposal, Ice Maker, Granite Countertops, Kitchen, Microwave, Oven, Range, Refrigerator, Hardwood Floors, High Ceilings, Bay Window, Walk-In Closets, Balcony, , , , "	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	-118.43054644898	34.0504696122449	2	"1924 Pelham Ave, Los Angeles, CA 90025"
"Barry Apartments"	"Studio"	2295	2295	"Studio"	"1 bath"	448	448	4.8	1973	53	3	86	63	2	1.74183078804921	"High Speed Internet Access, Air Conditioning, Smoke Free, Cable Ready, Tub/Shower, Fireplace, Dishwasher, Disposal, Kitchen, Oven, Range, Refrigerator, Freezer, Hardwood Floors, Walk-In Closets, Balcony, Patio, , , , , "	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	-118.460853183673	34.0518051836735	1	"1145 Barry Ave, Los Angeles, CA 90049"
"LUXURY LIVING AT AN AFFORDABLE PRICE."	"1BR/1.0BA"	2395	2395	"1 bed"	"1 bath"	750	750	4	1963	16	2	84	61	NA	2.04068886378558	", Heating, Storage Space, Intercom, Dishwasher, Kitchen, Microwave, Oven, Range, Refrigerator, Double Pane Windows, , , , "	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	-118.453645142857	34.0427864081633	1	"1632 Barry Ave, Los Angeles, CA 90025"
"1414 Armacost Ave"	"1 Bedroom"	2350	2350	"1 bed"	"1 bath"	500	500	4	1957	8	2	88	63	NA	2.20996060818586	", Heating, Ceiling Fans, Granite Countertops, Stainless Steel Appliances, Eat-in Kitchen, Kitchen, Hardwood Floors, Carpet, , , , "	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	-118.461531428571	34.0435687142857	1	"1414 Armacost Ave, Los Angeles, CA 90025"
"10786 Missouri Ave"	"1 Bed 1 Bath"	2500	2500	"1 bed"	"1 bath"	1500	1500	4	1963	8	2	89	65	1.7	1.47297369703474	", , , , Dishwasher, Disposal, Stainless Steel Appliances, Pantry, Range, Refrigerator, Hardwood Floors, Tile Floors, Vinyl Flooring, Dining Room, Views, Linen Closet, Double Pane Windows, Large Bedrooms"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	-118.433261631579	34.0493785789474	1	"10786 Missouri Ave, Los Angeles, CA 90025"
"1426 Brockton Ave"	"3 Beds, 2 Baths Model"	1333	4000	"3 beds"	"2 baths"	517	1550	4	1996	9	3	91	63	NA	2.27866265466489	", , , Washer/Dryer, Washer/Dryer Hookup, Air Conditioning, Heating, Smoke Free, Cable Ready, Security System, Tub/Shower, Fireplace, Intercom, Sprinkler System, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Ice Maker, Granite Countertops, Pantry, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Gas Range, Hardwood Floors, High Ceilings, Office, Views, Walk-In Closets, Loft Layout, Double Pane Windows, Large Bedrooms, Balcony, Deck"	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	-118.462322734694	34.0428125102041	3	"1426 Brockton Ave, Los Angeles, CA 90025"
"1430 Amherst Ave"	"One Bedroom"	2725	2725	"1 bed"	"1 bath"	615	615	5	NA	12	2	93	64	NA	2.4826455609467	", , , , Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Pantry, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Hardwood Floors, Vinyl Flooring, Double Pane Windows, Balcony, Patio"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	-118.465176857143	34.0408672244898	1	"1430 Amherst Ave, Los Angeles, CA 90025"
"1430 Amherst Ave"	"1 bedroom"	2725	2725	"1 bed"	"1 bath"	600	600	5	NA	12	2	93	64	NA	2.4826455609467	", , , , Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Pantry, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Hardwood Floors, Vinyl Flooring, Double Pane Windows, Balcony, Patio"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	-118.465176857143	34.0408672244898	1	"1430 Amherst Ave, Los Angeles, CA 90025"
"11284 Montana Avenue"	"Typical Unit (1+1)"	2345	2345	"1 bed"	"1 bath"	646	646	4	1953	24	2	36	48	1.2	1.21240817571662	", , , Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Security System, Tub/Shower, Disposal, Granite Countertops, Eat-in Kitchen, Kitchen, Oven, Range, Refrigerator, Gas Range, Hardwood Floors, Office, Walk-In Closets, Linen Closet, Double Pane Windows, Window Coverings, Large Bedrooms, Garden"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	-118.460760000884	34.0675173991603	1	"11284 Montana Ave, Los Angeles, CA 90049"
"11284 Montana Avenue"	"1 bedroom"	2395	2395	"1 bed"	"1 bath"	646	646	4	1953	24	2	36	48	1.2	1.21240817571662	", , , Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Security System, Tub/Shower, Disposal, Granite Countertops, Eat-in Kitchen, Kitchen, Oven, Range, Refrigerator, Gas Range, Hardwood Floors, Office, Walk-In Closets, Linen Closet, Double Pane Windows, Window Coverings, Large Bedrooms, Garden"	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	-118.460760000884	34.0675173991603	1	"11284 Montana Ave, Los Angeles, CA 90049"
"1741 Camden Ave"	"Apartment 11"	1575	3150	"2 beds"	"2 baths"	450	900	4	1965	12	2	91	67	1.9	1.59667920773682	", Heating, Smoke Free, Dishwasher, Disposal, Oven, Gas Range, Hardwood Floors, Vinyl Flooring, Skylights, Large Bedrooms, Balcony, , , , "	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	-118.441655137133	34.04694245	2	"1741 Camden Ave, Los Angeles, CA 90025"
"1246 S Saltair Ave"	"1 bed"	2225	2225	"1 bed"	"1 bath"	550	550	4	1955	4	2	86	63	NA	2.28528426566325	", , Granite Countertops, Kitchen, Hardwood Floors, , , "	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	-118.465966071429	34.0450261734694	1	"1246 S Saltair Ave, Los Angeles, CA 90025"
"1451 Armacost Ave"	"Unit 3"	1398	2795	"2 beds"	"1 bath"	450	900	4	1959	7	2	93	63	NA	2.2400813462333	", Smoke Free, Intercom, Dishwasher, Disposal, Stainless Steel Appliances, Kitchen, Refrigerator, Gas Range, Hardwood Floors, Crown Molding, Window Coverings, Balcony, Patio, , , , "	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	-118.461135530612	34.0428265510204	2	"1451 Armacost Ave, Los Angeles, CA 90025"
"1801 1/2 Camden Ave Unit 1"	"1 Bed"	2025	2025	"1 bed"	"1 bath"	825	825	4	1954	6	2	91	67	1.9	1.60694948154569	"Air Conditioning, Heating, Tub/Shower, Kitchen, Oven, Range, Refrigerator, Carpet, Dining Room, Crown Molding, Window Coverings, Lawn, , , , , "	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-118.44134730697	34.0467779	1	"1805 1/2 Camden Ave, Los Angeles, CA 90025"
"The Goshen Plaza"	"2 Beds, 1.5 Baths Model"	1862	3724	"2 beds"	"1.5 baths"	500	1000	4	1967	9	2	90	63	NA	2.27353598480608	", , , High Speed Internet Access, Heating, Ceiling Fans, Smoke Free, Cable Ready, Storage Space, Tub/Shower, Fireplace, Dishwasher, Disposal, Granite Countertops, Pantry, Kitchen, Microwave, Oven, Range, Refrigerator, Breakfast Nook, Hardwood Floors, Carpet, Tile Floors, Den, Linen Closet, Double Pane Windows, Window Coverings, Large Bedrooms, Balcony, Deck"	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	-118.467052314286	34.0460701714286	2	"12029 Goshen Ave, Los Angeles, CA 90049"
